createdAt,id,type,amount,direction,balance,interchange,summary,customerId,accountId,counterpartyName,counterpartyCustomer,counterpartyAccount,imad,omad,paymentId,recurringPaymentId,grossInterchange,institutionId
"2026-02-26T04:48:48.725Z","392530487","cardTransaction","$119.00","Debit","$1,032.37","","BOSS MONEY, WWW.IDT.NET, NJ, US  |  **1768","2428686","3201243","","","","","","","","",""
"2026-02-26T04:47:11.198Z","392530254","cardTransaction","$253.99","Debit","$1,986.14","","RMTLY* RE26E, REMITLY.COM, WA, US  |  **1451","3115944","4322787","","","","","","","","",""
"2026-02-26T04:36:40.689Z","392528435","cardTransaction","$785.00","Debit","$11.44","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **0865","2428780","3201388","","","","","","","","",""
"2026-02-26T04:36:40.510Z","392528433","cardTransaction","$1,430.00","Debit","$2.28","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **3702","3278283","4610558","","","","","","","","",""
"2026-02-26T04:36:40.344Z","392528432","cardTransaction","$51.95","Debit","$1.67","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **5331","2504217","3314610","","","","","","","","",""
"2026-02-26T04:36:40.131Z","392528431","cardTransaction","$1,000.00","Debit","$104.81","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **8937","2433024","3207863","","","","","","","","",""
"2026-02-26T04:36:39.744Z","392528430","cardTransaction","$1,500.00","Debit","$849.84","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **3025","2702493","3636570","","","","","","","","",""
"2026-02-26T04:36:37.357Z","392528421","cardTransaction","$648.09","Debit","$244.11","","PANGEA MONEY TRANSFER, 866-8589928, IL, US  |  **5563","3358079","4738370","","","","","","","","",""
"2026-02-26T04:12:25.809Z","392525175","cardTransaction","$14.11","Debit","$236.89","","RMTLY* J2B45, REMITLY.COM, WA, US  |  **3535","2514609","3329509","","","","","","","","",""
"2026-02-26T04:12:22.340Z","392525155","cardTransaction","$501.99","Debit","$66.75","","RMTLY* H083E, REMITLY.COM, WA, US  |  **9943","3357902","4738096","","","","","","","","",""
"2026-02-26T03:45:57.834Z","392520254","cardTransaction","$834.98","Debit","$145.16","","Felix Pago, San Francisco, CA, US  |  **6761","2702535","3636634","","","","","","","","",""
"2026-02-26T03:45:57.663Z","392520253","cardTransaction","$502.99","Debit","$2,498.73","","Felix Pago, San Francisco, CA, US  |  **9952","2431109","3204989","","","","","","","","",""
"2026-02-26T03:45:47.130Z","392520193","cardTransaction","$102.99","Debit","$143.71","","Felix Pago, San Francisco, CA, US  |  **3968","3380520","4783268","","","","","","","","",""
"2026-02-26T03:45:35.759Z","392520151","cardTransaction","$1,704.98","Debit","$167.72","","Felix Pago, San Francisco, CA, US  |  **5894","2625394","3515621","","","","","","","","",""
"2026-02-26T03:45:28.414Z","392520088","cardTransaction","$20.17","Debit","$38.17","","RMTLY* B3CAB, REMITLY.COM, WA, US  |  **6382","1977736","2487250","","","","","","","","",""
"2026-02-26T03:45:16.962Z","392520046","cardTransaction","$1,001.99","Debit","$1,453.67","","RMTLY* M93B9, REMITLY.COM, WA, US  |  **7962","3218547","4502419","","","","","","","","",""
"2026-02-26T03:45:16.054Z","392520042","cardTransaction","$383.99","Debit","$21.68","","RMTLY* J49C8, REMITLY.COM, WA, US  |  **0412","3278262","4610527","","","","","","","","",""
"2026-02-26T03:45:15.154Z","392520035","cardTransaction","$52.99","Debit","$8.43","","Felix Pago, San Francisco, CA, US  |  **2335","2455890","3242121","","","","","","","","",""
"2026-02-26T03:42:37.257Z","392519158","cardTransaction","$1,000.00","Debit","$39.26","","Felix Pago, San Francisco, CA, US  |  **2715","2975967","4089516","","","","","","","","",""
"2026-02-26T03:39:58.670Z","392518703","cardTransaction","$593.01","Debit","$413.46","","RMTLY* PFFFF, REMITLY.COM, WA, US  |  **6999","2527708","3357759","","","","","","","","",""
